municipality,lat,long
Providence ,41.8241373,-71.41999216
Barrington ,41.75259609,-71.32858438
Bristol    ,41.69753465,-71.27485281
Burrillville ,41.97093321,-71.72385965
Central Falls,41.89036201,-71.39187754
Charlestown,41.41584413,-71.65558394
Coventry,41.70234368,-71.69195588
Cranston,41.77953156,-71.43621721
Cumberland,41.97257143,-71.410516
East Greenwich,41.63478234,-71.51221648
East Providence,41.81227277,-71.36760975
Exeter,41.57365722,-71.53086357
Foster,41.79360823,-71.75561914
Glocester,41.90368727,-71.68300945
Hopkinton,41.46254175,-71.78065643
Jamestown,41.54543612,-71.37099916
Johnston,41.82035635,-71.51646213
Lincoln,41.92038239,-71.44114888
Little Compton,41.5273748,-71.16873834
Middletown,41.52844938,-71.29141296
Narragansett,41.42045035,-71.47774973
New Shoreham,41.17340578,-71.56065307
Newport,41.49109718,-71.31316916
North Kingstown,41.55623875,-71.4456573
North Providence,41.85342761,-71.46628229
North Smithfield,41.96650209,-71.54751133
Pawtucket,41.87291996,-71.37447063
Portsmouth,41.5873219,-71.26965504
Richmond,41.4964678,-71.67822572
Scituate,41.79481092,-71.61723731
Smithfield,41.90904135,-71.53296937
South Kingstown,41.43387982,-71.56557863
Tiverton,41.61667308,-71.1819135
Warren,41.73281642,-71.26216685
Warwick,41.71678516,-71.42091904
West Greenwich,41.6288489,-71.66320428
West Warwick,41.70381004,-71.52218889
Westerly,41.37149137,-71.80177261
Woonsocket,42.0026898,-71.51305532
